University Name,URL,Type
University of Illinois at Chicago,https://uic.edu,University
University of Iowa School of Music,,University
University of Kansas,https://www.ku.edu,University
University of Kentucky,https://www.uky.edu/,University
University of Louisville,https://louisville.edu/,University
University of Maine,https://umaine.edu/,University
University of Maryland School of Music,,University
University of Massachusetts Amherst,https://www.umass.edu,University
University of Memphis,http://www.memphis.edu,University
University of Miami,http://miami.edu,University
"University of Michigan School of Music, Theatre & Dance",https://smtd.umich.edu,University
University of Minnesota-Duluth,https://www.d.umn.edu/,University
University of Minnesota-Twin Cities,https://twin-cities.umn.edu/,University
University of Mississippi,http://www.olemiss.edu,University
University of Missouri School of Music,https://music.missouri.edu/,University
University of Missouri-Kansas City,http://www.umkc.edu,University
"University of Nevada, Las Vegas",https://unlv.edu,University
University of North Carolina School of the Arts,https://www.uncsa.edu/,University
University of North Carolina at Greensboro,http://www.uncg.edu,University
University of North Florida,http://www.unf.edu,University
University of North Texas College of Music,http://music.unt.edu,University
University of Northern Colorado,https://unco.edu,University
University of Northern Iowa School of Music,https://www.uni.edu,University
University of Oklahoma,http://www.ou.edu,University
University of Oregon,https://uoregon.edu,University
University of Redlands,http://www.redlands.edu,University
University of South Carolina,https://sc.edu/,University
University of South Florida,http://www.usf.edu/,University
University of Southern California,https://usc.edu,University
University of Southern Mississippi,https://usm.edu,University
University of Tampa,https://www.ut.edu/,University
"University of Tennessee, Knoxville",https://www.utk.edu/,University
"University of Tennessee, Martin",https://utm.edu/,University
University of Texas,https://utexas.edu,University
University of Utah,https://www.utah.edu,University
University of Washington,https://washington.edu,University
University of Wisconsin–Madison,https://wisc.edu,University
University of Wisconsin–Milwaukee,http://www.uwm.edu,University
University of the Arts,http://uarts.edu,University
University of the Pacific,https://www.pacific.edu/,University
Utah State University,https://www.usu.edu,University
VanderCook College of Music,https://www.vandercook.edu/,University
Virginia Commonwealth University,https://vcu.edu,University
Virginia Polytechnic Institute and State University,https://www.vt.edu/,University
West Chester University of Pennsylvania,http://www.wcupa.edu,University
West Virginia State University,http://www.wvstateu.edu,University
West Virginia University,http://www.wvu.edu,University
Western Connecticut State University,https://www.wcsu.edu/,University
Western Kentucky University,http://www.wku.edu,University
Western Michigan University,https://wmich.edu,University
Westminster Choir College,http://www.rider.edu/wcc,University
Wheaton College Conservatory of Music,http://wheaton.edu/Conservatory,Conservatory
Wichita State University,https://www.wichita.edu/,University
William Paterson University,https://www.wpunj.edu/,University
Wright State University,http://wright.edu,University
Yale University,https://yale.edu,University
Youngstown State University,http://www.ysu.edu,University
