University Name,URL,Type
Baldwin-Wallace Conservatory of Music,http://www.bw.edu/academics/conservatory,Conservatory
Bard College Conservatory of Music,,Conservatory
Boston Conservatory at Berklee,https://bostonconservatory.berklee.edu,Conservatory
Conservatory of Music of Puerto Rico,,Conservatory
Lawrence Conservatory of Music,https://lawrence.edu,Conservatory
New England Conservatory of Music,http://necmusic.edu,Conservatory
Oberlin Conservatory,http://www.oberlin.edu/conservatory,Conservatory
Peabody Conservatory,http://www.peabody.jhu.edu/,Conservatory
San Francisco Conservatory of Music,https://www.sfcm.edu,Conservatory
Shenandoah Conservatory,https://www.su.edu/,Conservatory
University of Cincinnati College-Conservatory of Music,https://ccm.uc.edu,Conservatory
Wheaton College Conservatory of Music,http://wheaton.edu/Conservatory,Conservatory
