University Name,URL
Juilliard School,https://www.juilliard.edu
Berklee College of Music,
University of Michigan,https://www.umich.edu
Indiana University,
Eastman School of Music,
Yale School of Music,https://www.yale.edu
Northwestern University Bienen School of Music,
Manhattan School of Music,
New England Conservatory,
Curtis Institute of Music,https://www.curtis.edu
